Freq.	V(vout)
2.07014134879101e-07	(-7.43496476712616e-13dB,-2.36989781609581e-05°)
2.07491351745487e-07	(-7.47353786578830e-13dB,-2.37536099478220e-05°)
2.07969668710366e-07	(-7.50246768978490e-13dB,-2.38083676739613e-05°)
2.08449088309725e-07	(-7.54104078844703e-13dB,-2.38632516296960e-05°)
2.08929613085400e-07	(-7.56997061244363e-13dB,-2.39182621060152e-05°)
2.09411245585086e-07	(-7.59890043644023e-13dB,-2.39733993945792e-05°)
2.09893988362349e-07	(-7.63747353510237e-13dB,-2.40286637877203e-05°)
2.10377843976644e-07	(-7.68568990843004e-13dB,-2.40840555784448e-05°)
2.10862814993325e-07	(-7.72426300709217e-13dB,-2.41395750604345e-05°)
2.11348903983661e-07	(-7.74354955642324e-13dB,-2.41952225280481e-05°)
2.11836113524847e-07	(-7.78212265508538e-13dB,-2.42509982763230e-05°)
2.12324446200018e-07	(-7.82069575374751e-13dB,-2.43069026009766e-05°)
2.12813904598267e-07	(-7.84962557774411e-13dB,-2.43629357984082e-05°)
2.13304491314654e-07	(-7.88819867640625e-13dB,-2.44190981657001e-05°)
2.13796208950219e-07	(-7.91712850040285e-13dB,-2.44753900006196e-05°)
2.14289060112002e-07	(-7.96534487373052e-13dB,-2.45318116016205e-05°)
2.14783047413050e-07	(-8.00391797239265e-13dB,-2.45883632678444e-05°)
2.15278173472433e-07	(-8.03284779638925e-13dB,-2.46450452991227e-05°)
2.15774440915263e-07	(-8.07142089505139e-13dB,-2.47018579959778e-05°)
2.16271852372698e-07	(-8.10035071904799e-13dB,-2.47588016596249e-05°)
2.16770410481966e-07	(-8.13892381771012e-13dB,-2.48158765919739e-05°)
2.17270117886371e-07	(-8.18714019103779e-13dB,-2.48730830956301e-05°)
2.17770977235312e-07	(-8.23535656436546e-13dB,-2.49304214738969e-05°)
2.18272991184296e-07	(-8.27392966302760e-13dB,-2.49878920307766e-05°)
2.18776162394951e-07	(-8.31250276168973e-13dB,-2.50454950709724e-05°)
2.19280493535041e-07	(-8.34143258568633e-13dB,-2.51032308998899e-05°)
2.19785987278478e-07	(-8.37036240968294e-13dB,-2.51610998236386e-05°)
2.20292646305342e-07	(-8.41857878301061e-13dB,-2.52191021490339e-05°)
2.20800473301886e-07	(-8.45715188167274e-13dB,-2.52772381835983e-05°)
2.21309470960560e-07	(-8.49572498033488e-13dB,-2.53355082355632e-05°)
2.21819641980018e-07	(-8.54394135366254e-13dB,-2.53939126138708e-05°)
2.22330989065136e-07	(-8.58251445232468e-13dB,-2.54524516281751e-05°)
